GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Products Service,br.com.fiap.techchallange.adapters.presenters.viewmodel,ErrorViewModel,6,9,0,0,0,1,2,1,2,1
Products Service,br.com.fiap.techchallange,MainApplication,13,0,0,0,4,0,2,0,2,0
Products Service,br.com.fiap.techchallange.infrastructure.config.controller.managementproduct,ManagementProductControlerConfig,28,0,0,0,6,0,6,0,6,0
Products Service,br.com.fiap.techchallange.core.usecase.outputboundary.presenters.checkout,IProductPresenter.ProductResponseModel,0,47,0,0,0,18,0,9,0,9
Products Service,br.com.fiap.techchallange.infrastructure.config.gateways,DataSourceConfig,25,0,0,0,7,0,2,0,2,0
Products Service,br.com.fiap.techchallange.infrastructure.config.gateways,MercadoPagoConfig,3,0,0,0,1,0,1,0,1,0
Products Service,br.com.fiap.techchallange.core.usecase.dto.product,InputDataProductDTO,0,33,0,0,0,1,0,6,0,6
Products Service,br.com.fiap.techchallange.core.usecase.dto.product,OutputDataProductDTO,0,53,0,0,0,22,0,11,0,11
Products Service,br.com.fiap.techchallange.core.entity,Product,13,95,1,3,2,30,2,13,1,12
Products Service,br.com.fiap.techchallange.core.usecase.outputboundary.presenters.managementproduct,IProductManagementPresenter.ProductResponseModel,0,47,0,0,0,18,0,9,0,9
Products Service,br.com.fiap.techchallange.core.entity.vo,Item,4,54,0,2,2,18,1,9,1,8
Products Service,br.com.fiap.techchallange.core.entity.vo,Name,0,56,0,12,0,11,0,9,0,3
Products Service,br.com.fiap.techchallange.core.entity.vo,MonetaryValue,0,43,0,2,0,16,0,7,0,6
Products Service,br.com.fiap.techchallange.core.usecase.checkout,ProductsDisplayUseCase,0,43,0,2,0,13,0,3,0,2
Products Service,br.com.fiap.techchallange.adapters.presenters.checkout,ProductPresenter,0,27,0,2,0,6,0,3,0,2
Products Service,br.com.fiap.techchallange.infrastructure.config.presenters.managementproduct,ProductPresenterConfig,7,0,0,0,2,0,2,0,2,0
Products Service,br.com.fiap.techchallange.infrastructure.service.mock,SequentialNumberGenerator,0,48,0,4,0,13,0,7,0,5
Products Service,br.com.fiap.techchallange.infrastructure.api,ManagementProduct,98,99,0,0,16,32,2,4,2,4
Products Service,br.com.fiap.techchallange.infrastructure.dto,ProductRequestDTO,0,46,0,0,0,10,0,7,0,7
Products Service,br.com.fiap.techchallange.infrastructure.dto,ItemRequestDTO,0,21,0,0,0,8,0,4,0,4
Products Service,br.com.fiap.techchallange.adapters.controllers.checkout,ProductsDisplayController,10,0,0,0,4,0,2,0,2,0
Products Service,br.com.fiap.techchallange.core.entity.enums,Category,0,79,0,4,0,11,0,6,0,4
Products Service,br.com.fiap.techchallange.core.usecase.managementproduct,GetProductBySkuUseCase,0,25,0,0,0,10,0,2,0,2
Products Service,br.com.fiap.techchallange.core.usecase.managementproduct,UpdateProductUseCase,0,28,0,0,0,6,0,2,0,2
Products Service,br.com.fiap.techchallange.core.usecase.managementproduct,GetProductListUseCase,0,43,0,2,0,13,0,3,0,2
Products Service,br.com.fiap.techchallange.core.usecase.managementproduct,RemoveProductUseCase,0,11,0,0,0,5,0,2,0,2
Products Service,br.com.fiap.techchallange.core.usecase.managementproduct,RegisterProductUseCase,0,26,0,0,0,6,0,2,0,2
Products Service,br.com.fiap.techchallange.core.entity.exceptions,ChangeNotAllowedOrderException,4,0,0,0,2,0,1,0,1,0
Products Service,br.com.fiap.techchallange.infrastructure.bd,MySQLProductRepository,180,0,0,0,43,0,7,0,7,0
Products Service,br.com.fiap.techchallange.infrastructure.bd,MySQLProductRepository.new RowMapper() {...},26,0,0,0,7,0,2,0,2,0
Products Service,br.com.fiap.techchallange.infrastructure.bd,MySQLProductRepository.new RowMapper() {...},26,0,0,0,7,0,2,0,2,0
Products Service,br.com.fiap.techchallange.infrastructure.bd,MySQLProductRepository.new RowMapper() {...},26,0,0,0,7,0,2,0,2,0
Products Service,br.com.fiap.techchallange.adapters.controllers.managementproduct,GetProductListController,0,10,0,0,0,4,0,2,0,2
Products Service,br.com.fiap.techchallange.adapters.controllers.managementproduct,RegisterProductController,0,18,0,0,0,5,0,2,0,2
Products Service,br.com.fiap.techchallange.adapters.controllers.managementproduct,UpdateProductController,0,18,0,0,0,5,0,2,0,2
Products Service,br.com.fiap.techchallange.adapters.controllers.managementproduct,GetProductBySkuController,0,11,0,0,0,4,0,2,0,2
Products Service,br.com.fiap.techchallange.adapters.controllers.managementproduct,RemoveProductController,0,11,0,0,0,5,0,2,0,2
Products Service,br.com.fiap.techchallange.infrastructure.config.usecase.managementproduct,ManagementProductUseCaseConfig,28,0,0,0,6,0,6,0,6,0
Products Service,br.com.fiap.techchallange.adapters.presenters.managementproduct,ProductManagementPresenter,0,32,0,2,0,7,0,4,0,3
Products Service,br.com.fiap.techchallange.infrastructure.config,EndpointConfigLogger,18,0,0,0,3,0,4,0,4,0
Products Service,br.com.fiap.techchallange.infrastructure.config,OpenApiConfig.new WebMvcConfigurer() {...},23,0,0,0,3,0,2,0,2,0
Products Service,br.com.fiap.techchallange.infrastructure.config,OpenApiConfig,8,0,0,0,2,0,2,0,2,0
